dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total
ds002718,18,18,1,74,250,14.844
ds005505,1342,136,10,129,500,125.366
ds004745,6,6,1,,1000,0.0
ds005514,2885,295,10,129,500,213.008
ds005512,2320,257,10,129,500,196.205
ds005510,1227,135,10,129,500,112.464
ds005511,3100,381,10,"6,129",500,285.629
ds005509,3326,330,10,129,500,274.559
ds005508,3342,324,10,129,500,269.281
ds005507,1812,184,10,129,500,168.649
ds005506,1405,150,10,129,500,127.896
ds004854,1,1,1,64,128,0.535
ds004853,1,1,1,64,128,0.535
ds004844,68,17,1,64,1024,21.252
ds004843,92,14,1,64,256,29.834
ds004842,102,14,1,64,256,20.102
ds004852,1,1,1,64,128,0.535
ds004851,1,1,1,64,128,0.535
ds004850,1,1,1,64,128,0.535
ds004855,1,1,1,64,128,0.535
ds004849,1,1,1,64,128,0.535
ds004841,147,20,1,64,256,29.054
ds004661,17,17,1,64,128,10.137
ds004660,42,21,1,32,"2048,512",23.962
ds004657,119,24,1,64,"1024,8192",27.205
ds004362,1526,109,1,64,"128,160",48.592
ds004010,24,24,1,64,1000,26.457
ds002181,226,226,1,125,500,7.676
ds004554,16,16,1,99,1000,0.024
ds005697,50,50,1,"65,69",1000,77.689
ds004350,240,24,5,64,256,41.265
ds004785,17,17,1,32,500,0.019
ds004504,88,88,1,19,500,19.608
ds004635,55,55,1,129,1000,20.068
ds005787,448,19,1,"64,66","1000,500",23.733
ds005079,60,1,15,65,500,3.25
ds005342,32,32,1,17,250,33.017
ds005034,100,25,2,129,1000,37.525
ds002680,350,14,1,31,1000,21.244
ds003805,1,1,1,19,500,0.033
ds003838,130,65,2,63,1000,136.757
ds002691,20,20,1,32,250,6.721
ds003690,375,75,3,"64,66",500,46.771
ds004040,4,2,1,64,512,4.229
ds003061,39,13,1,79,256,8.196
ds005672,3,3,1,"65,69",1000,4.585
ds005410,81,81,1,63,1000,22.976
ds003753,25,25,1,64,500,10.104
ds005565,24,24,1,,500,11.436
ds002893,52,49,1,33,"250,250.0293378038558",36.114
ds002578,2,2,1,256,256,1.455
ds005089,36,36,1,63,1000,68.82
ds003822,25,25,1,64,500,12.877
ds003670,62,25,1,32,2000,72.772
ds005048,35,35,1,,250,5.203
ds004574,146,146,1,"63,64,66",500,31.043
ds004519,40,40,1,62,250,0.067
ds004602,546,182,3,128,"250,500",87.11
ds004784,6,1,6,128,512,0.518
ds004771,61,61,1,34,256,0.022
ds003518,137,110,1,64,500,89.888
ds005207,39,20,1,"6,10,12,14,15,16,17,18","128,250",422.881
ds005866,60,60,1,,500,15.976
ds003523,221,91,1,64,500,84.586
ds004347,48,24,1,64,"128,512",6.389
ds004588,42,42,1,24,300,4.957
ds005811,448,19,1,62,"1000,500",23.733
ds003987,69,23,1,64,500.0930232558139,52.076
ds004317,50,50,1,60,500,37.767
ds004033,36,18,2,64,500,42.645
ds004315,50,50,1,60,500,21.104
ds003474,122,122,1,64,500,36.61
ds003509,84,56,1,64,500,48.535
ds005868,48,48,1,,500,13.094
ds003516,25,25,1,47,500,22.57
ds004942,62,62,1,65,1000,28.282
ds004348,18,9,2,34,200,35.056
ds004625,543,32,9,120,500,28.397
ds003517,34,17,1,64,500,13.273
ds004368,40,39,1,63,128,0.033
ds004584,149,149,1,"63,64,66",500,6.641
ds003506,84,56,1,64,500,35.381
ds003570,40,40,1,64,2048,26.208
ds003490,75,50,1,64,500,12.76
ds004117,85,23,1,69,"1000,250,500,500.059",15.941
ds004505,25,25,1,120,250,30.398
ds004580,147,147,1,"63,64,66",500,36.514
ds004532,137,110,1,64,500,49.651
ds004902,218,71,2,61,"500,5000",18.118
ds004295,26,26,1,66,"1024,512",34.313
ds003519,54,27,1,64,500,20.504
ds003458,23,23,1,64,500,10.447
ds003004,34,34,1,"134,180,189,196,201,206,207,208,209,211,212,213,214,215,218,219,220,221,222,223,224,226,227,229,231,232,235",256,49.072
ds004200,20,20,1,37,1000,14.123
ds004015,36,36,1,18,500,47.29
ds004595,53,53,1,64,500,17.078
ds004626,52,52,1,68,1000,21.359
ds004475,30,30,1,"113,115,118,119,120,122,123,124,125,126,127,128",512,26.899
ds004515,54,54,1,64,500,20.61
ds004883,516,172,3,128,500,137.855
ds003739,120,30,4,128,256,20.574
ds004389,260,26,4,42,10000,30.932
ds004367,40,40,1,68,1200,24.81
ds004369,41,41,1,4,500,37.333
ds004579,139,139,1,"63,64,66",500,55.703
ds005416,23,23,1,64,1000,24.68
ds001785,54,18,3,63,"1000,1024",14.644
ds001971,273,20,1,108,512,46.183
ds004388,399,40,3,67,10000,43.327
ds003478,243,122,1,64,500,23.57
ds004306,15,12,1,124,1024,18.183
ds005305,165,165,1,64,"2048,512",14.136
ds005114,223,91,1,64,500,125.701
ds003039,16,16,1,64,500,14.82
ds003602,699,118,6,35,1000,159.35
ds003655,156,156,1,19,500,130.923
ds003522,200,96,1,64,500,57.079
ds003801,20,20,1,24,250,13.689
ds005296,62,62,1,,500,37.205
ds004561,23,23,1,62,10000,11.379
ds005131,63,58,2,64,500,52.035
ds005028,66,11,3,,,0.0
ds005170,225,5,1,,,0.0
ds004840,51,9,3,8,"1024,256,512",11.306
ds004718,51,51,1,64,1000,21.836
ds002725,105,21,5,30,1000,0.0
ds004408,380,19,1,128,512,20.026
ds004796,235,79,3,,1000,0.0
ds004511,134,45,3,139,3000,48.922
ds004817,20,20,1,63,1000,0.0
