participant_id	age	cap_size	block_1	block_2	block_3
sub-02	24	58	Visual	Visual + Vibro	Visual + Vibro + EMS
sub-03	25	56	Visual + Vibro	Visual	Visual + Vibro + EMS
sub-04	28	60	Visual	Visual + Vibro	0
sub-05	18	58	Visual + Vibro	Visual	0
sub-06	32	55	Visual	Visual + Vibro	Visual + Vibro + EMS
sub-07	28	54	Visual + Vibro	Visual	Visual + Vibro + EMS
sub-08	31	58	Visual	Visual + Vibro	Visual + Vibro + EMS
sub-09	24	54	Visual + Vibro	Visual	0
sub-10	34	54	Visual	Visual + Vibro	0
sub-11	27	56	Visual + Vibro	Visual	Visual + Vibro + EMS
sub-12	28	54	Visual	Visual + Vibro	Visual + Vibro + EMS
sub-13	27	54	Visual + Vibro	Visual	Visual + Vibro + EMS
sub-14	24	54	Visual	Visual + Vibro	Visual + Vibro + EMS
sub-15	31	54	Visual + Vibro	Visual	Visual + Vibro + EMS
sub-16	26	56	Visual	Visual + Vibro	Visual + Vibro + EMS
sub-17	25	56	Visual + Vibro	Visual	0
sub-18	25	56	Visual	Visual + Vibro	0
sub-19	25	56	Visual + Vibro	Visual	0
sub-20	26	54	Visual	Visual + Vibro	0
