participant_id	Gender	Age	Group
sub-s01	male	24	n/a
sub-s02	female	23	n/a
sub-s03	male	24	n/a
sub-s04	female	23	n/a
sub-s05	male	24	n/a
sub-s06	female	23	n/a
sub-s07	female	27	n/a
sub-s08	male	24	n/a
sub-s09	female	22	n/a
sub-s10	female	25	n/a
sub-s11	male	23	n/a
sub-s12	female	24	n/a
sub-s13	male	22	n/a
sub-s14	male	24	n/a
sub-s15	male	24	n/a
sub-s16	male	23	n/a
sub-s17	female	25	n/a
sub-s18	male	26	n/a
sub-s19	male	24	n/a
sub-s20	female	24	n/a
sub-s21	male	26	n/a
sub-s22	male	23	n/a
sub-s23	female	23	n/a
