participant_id	sex
sub-001	f
sub-002	m
sub-003	m
sub-004	m
sub-005	f
sub-006	m
sub-007	f
sub-008	m
sub-009	m
sub-010	m
sub-011	f
sub-012	f
sub-013	m
sub-014	m
sub-015	f
sub-016	m
sub-017	m
sub-018	f
sub-019	f
sub-020	f
sub-021	f
sub-022	f
sub-023	m
sub-024	m
sub-025	f
sub-026	m
sub-027	f
sub-028	f
sub-029	f
sub-030	f
sub-031	m
sub-032	f
sub-033	f
sub-034	m
sub-035	f
sub-036	m
sub-037	f
sub-038	m
sub-039	m
sub-040	m
sub-041	f
sub-042	f
sub-043	f
sub-044	f
sub-045	f
sub-046	m
sub-047	m
sub-048	m
sub-049	m
sub-050	f
sub-051	f
sub-052	f
sub-053	m
sub-054	f
sub-055	m
sub-056	f
sub-057	f
sub-058	f
sub-059	f
sub-060	f
sub-061	f
sub-062	f
sub-063	m
sub-064	f
sub-065	f
sub-066	m
sub-067	f
sub-068	m
sub-069	m
sub-070	m
sub-071	m
sub-072	f
sub-073	m
sub-074	m
sub-075	f
sub-076	f
sub-077	m
sub-078	f
sub-079	f
sub-080	f
sub-081	m
sub-082	m
sub-083	m
sub-084	f
sub-085	m
sub-086	m
sub-087	f
sub-088	m
sub-089	m
sub-090	m
sub-091	f
sub-092	m
sub-093	f
sub-094	f
sub-095	m
sub-096	f
sub-097	m
sub-098	f
sub-099	m
sub-100	m
sub-101	m
sub-102	f
sub-103	m
sub-104	m
sub-105	m
sub-106	m
sub-107	m
sub-108	f
sub-109	f
sub-110	f
sub-111	f
sub-112	f
sub-113	f
sub-114	m
sub-115	m
sub-116	f
sub-117	m
sub-118	m
sub-119	f
sub-120	f
sub-121	m
sub-122	m
sub-123	m
sub-124	m
sub-125	m
